,ratings,location,date,pro,con,up_vote,down_vote,message
118,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
119,2.0,"Dallas, TX",2018-12-28,Flexible,After all your cost is deducted you might make an average of $3.00 an hour.,9,,"If you are in between jobs this might be the job for you.I find that the pay is the only down side of this job.At the end of the week you might end up with $750.00But then when you consider that you have to deduct your own taxes, and you have to pay for gas, and car maintenance you might end up with $400.00. On top of that you have to consider an average of 250 miles a day, the depreciation on your car goes up pretty rapidly.You have to save for repairs on that car, and save for the days the car is in the shop because Uber does not allow you to work on a rental or a lawner."
120,3.0,"Manhattan, NY",2018-12-28,Clothing allowance,Low healthcare premium,1,1,"I love working for Uber , like any other institutions also have their challenges, one thing Uber is not fair of is falling to recognize hard working drivers and motivating them and although we are private contacts uner still should have been able to recognize the hard working once and enroll them in pension and social security"
121,4.0,"Jersey City, NJ",2018-12-28,Make your own hours,Doesn't pay big,,,Uber eats is a very cool and easy job. You make your own house and work whenever you want. No hassels. You get to find restaurants you never heard of. You get sometimes get tips.
122,2.0,"Barnstable, MA",2018-12-28,Being in control of your schedule. Meeting new people. Independence.,Support is horrible and the stress is not worth the job.,4,,"The concept of driving for Uber is great. It’s easy money when there is volume and the job is not stressful. The stress begins when you have a problem and need support. Good luck! For no reason at all (I think adding my new inspection report triggered it),  Uber started another background check and it has been over 4 weeks (I had already been driving for 6 months with a 4.98 rating after 375 rides) and Uber support (in some faraway country)  just keeps repeating “it can take 5-7 business days.” I haven’t been able to drive for over a month and it has nothing to do with me or a background check. It has to do with lack of communication,  and with technology that is not streamlined across the board.  The background check is just one example. I could go on and on. It is seriously the most stressful and most horrible support I have ever experienced. If you can avoid getting trapped in a cycle of  h e l l  with Uber support (which I highly doubt since it will be inevitable), the job itself won’t make you rich but it’s nice to make your own hours and be your own boss."
123,1.0,"San Diego, CA",2018-12-28,free timing for duties,everything to do with uber..it was a very bad experiance.,4,,"a company with bad policy for employee.they get away with foul games with worker.they hire driver as independent contractor,not employee.this way they avoid any coverages."
124,2.0,"San Antonio, TX",2018-12-27,You are your own boss,Wage is sporadic and its a lot of wear and tear on your car,3,,"I took up Uber driving after I broke my wrist and couldn't wait tables for a while. I applied everywhere and when rent started creeping up, I started driving. Somedays were low hours and decent money, but a of the times you waste all day just to make enough to get your gas back and that's it, let alone everything you need for survival"
125,1.0,"Boston, MA",2018-12-27,Flexible hours,Keep cutting your income,5,,"Uber is the worst, when it started used to be great but the way they manage business hurts drivers bad. I've invested in a new car and now I see that I'm working more to make the same."
126,3.0,"Syracuse, NY",2018-12-27,,,1,,good that you make your own  hours but the market is currently saturated with drivers in my location so it is difficult to make money at this current time
127,5.0,"Vista, CA",2018-12-26,Schedule.,"Expenses, wear and tear on vehicle.",2,,Uber was there for me when I needed something to do. I was surprised that if you hustled even a little bit that you can make a decent weekly check. No benefits and you are responsible for your own taxes and expenses.
128,4.0,"Pensacola, FL",2018-12-25,Meeting new people,"Gas fill-up, pay is small, and no benefits",,2,"The day is pretty simple. I turn the app on and wait for a ride. The wait time can be quick or slow. I drive them to their destination, either in silence or a conversation, then I drop them off."
129,4.0,Wilkes Barre-Scranton,2018-12-25,,,1,,"Worked PT for additional income in the beginning, then to manage while I was between jobs.  I would recommend for these 2 employment positions.  Will continue when I regain FT employment"
130,5.0,"Newark, NJ",2018-12-25,Get to work when ever you want.,Rude drunk customers on the late night weekends.,1,1,"I love working for Uber , great company and I get to meet awesome people. It’s very convenient that you just have to use your cell phone and just your car. I would recommend anyone to work for them, and the pay is fair also!!!"
131,2.0,"Cleveland, OH",2018-12-24,,,1,,I only worked for uber because i got layed off my job. Uber was a temporary thing to make a few dollers to pass time untll i find a new job. I don't mind driving for uber though.
132,5.0,"Boston, MA",2018-12-23,,,1,,I really liked working for uber. It is a great company. The compensation is awesome. I met with new people every day. Schedule is flexible. You can work asn mang hours as you like.
133,5.0,"Kalamazoo, MI",2018-12-23,,,1,,awesome place to work. you can make you own hours and drive in any city that is near you hometown. start and stop your shift. easy to apply and become your own boss.
134,5.0,"Gresham, OR",2018-12-22,Earn money is great,"tires wear out, milages, gas",,1,The hardest part is sometimes you have to find a place where they locate at. I have great commutation with Consumer (rider) that I do enjoy very much. When comes to mistake I do better next time like study map before you go either get food (ubereats) or ask consumer which exact they are at location because sometimes they dont say it where like which company are they at or name of Apartment.
135,2.0,"Fort Lauderdale, FL",2018-12-22,Work your own hours,Everything else,12,,This company was good when it first came out But like any other big company after they get what they wanted to get people hook in to using the service They treat drivers like trash and don’t appreciated the work And sacrifies that drivers do to make them a big and rich company And since they don’t have a limit on how many drivers they can hire anybody  can give a bad review about you and get you in problems just because they just didn’t like something about you and Uber doesn’t even try to get the drivers side of the story The Federal Goverment  needs  to investigate the way Uber is doing business
